Name,Glass,Garnish,How to make,Contents,Ratios,Gentle / Boozy,Sweet / Dry Sour,Calories,Calories2,Alcohol percentage,Alcohol percentage2,Popularity,Category,URL
404 - Page not found,,[],,[],,,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/0/index.html
Abacaxi Ricaço,Pineapple shell (frozen) glass,"['Cut', 'a', 'straw', 'sized', 'hole', 'in', 'the', 'top', 'of', 'the', 'pineapple', 'shell', '&', 'replace', 'it', 'as', 'a', 'lid']","Cut the top off a small pineapple and carefully scoop out the flesh from the base to leave a shell with 12mm (½ inch) thick walls. Place the shell in a freezer to chill. Remove the hard core from the pineapple flesh and discard; roughly chop the remaining flesh, add other ingredients and BLEND with one 12oz scoop of crushed ice. Pour into the pineapple shell and serve with straws. (The flesh of one pineapple blended with the following ingredients will fill at least two shells).","['Pineapple (fresh)', 'Gold rum (1-3 years old mellow light)', 'Lime juice (freshly squeezed)', 'White caster sugar']","['1 whole', '3 shot', '3⁄4 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,25.67,6,Frozen (blended),https://www.diffordsguide.com/cocktails/recipe/1/index.html
404 - Page not found,,[],,[],,,,,,,,,,https://www.diffordsguide.com/cocktails/recipe/2/index.html
Abbey,Coupe glass,"['Orange', 'zest', 'twist']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Rutte Dry Gin', 'Lillet Blanc (or other aromatized wine)', 'Orange juice (freshly squeezed)', 'Angostura Aromatic Bitters']","['1 1⁄2 shot', '3⁄4 shot', '3⁄4 shot', '2 dash', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",7,7,,133 calories,,20.97,27,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/3/index.html
A.B.C. Cocktail,Nick & Nora glass,"['Lemon', 'zest', 'twist', '&', 'Luxardo', 'Maraschino', 'cherry']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['Mint leaves', 'Tawny port', 'Rémy Martin 1738 Cognac', 'Luxardo Maraschino liqueur', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['7 fresh', '1 shot', '1 shot', '1⁄4 shot', '1⁄6 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",7,5,,,,,11,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/4/index.html
Absinthe Cocktail,Coupe glass,"['Mint', 'leaf']",SHAKE all ingredients with ice and fine strain into chilled glass.,"['La Fée Parisienne absinthe', 'Chilled water', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['1 shot', '2 1⁄2 shot', '1⁄4 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",8,7,,,,14.62,14,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/5/index.html
Absinthe Frappé,Old-fashioned glass,"['Mint', 'sprigs', 'bouquet']",SHAKE all ingredients with ice and fine strain into glass filled with crushed ice. CHURN (stir) and serve with a straw.,"['La Fée Parisienne absinthe', 'Anisette liqueur', 'Chilled water', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)""]","['1 shot', '1⁄3 shot', '1 shot', '1⁄6 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",8,5,,,,,3,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/6/index.html
Absinthe Sour,Old-fashioned glass,"['Lemon', 'zest', 'twist', '&', 'Luxardo', 'Maraschino', 'Cherry']",SHAKE all ingredients with ice and strain back into shaker. DRY SHAKE (without ice) and fine strain into ice-filled glass.,"['La Fée Parisienne absinthe', ""Sugar syrup 'rich' (2 sugar to 1 water, 65.0°brix)"", 'Lemon juice (freshly squeezed)', 'Pasteurised egg white (or aquafaba)', ""Peychaud's or other Creole-style bitters (optional)""]","['5⁄6 shot', '1⁄3 shot', '1⁄2 shot', '1⁄2 shot', '2 dash', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",7,6,,142 calories,,21.2,17,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/7/index.html
Absinthe Suisesse,Old-fashioned glass,"['Mint', 'sprig']",SHAKE all ingredients with ice and strain into glass filled with crushed ice.,"['La Fée Parisienne absinthe', 'Giffard Orgeat Syrup', 'Pasteurised egg white (or aquafaba)', 'Single cream / half-and-half']","['1 1⁄2 shot', '1⁄2 shot', '1 shot', '1 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,298 calories,,20.56,,3,Classic/vintage,https://www.diffordsguide.com/cocktails/recipe/8/index.html
Absinthe Without Leave,Shot glass,['None'],Refrigerate ingredients then LAYER in chilled glass by carefully pouring in the following order.,"['Pisang Ambon green banana liqueur', 'Irish cream liqueur', 'La Fée Parisienne absinthe']","['3⁄4 shot', '3⁄4 shot', '1⁄2 shot', 'Loading...\n\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\t\n\n\n\n\n\n\nml\n\n\noz\n\n\nshot\n\n\ncl\n\n\n\n\n\n\n\n\n\n\n\n\n1\n2\n3\n\n\n\n\n\n\n\n\n\n\n\n\t\t\t\tServings\t\t\t\n\n\n\n\n\n\n\t\t\tGO']",,,,,,,,Shot cocktails,https://www.diffordsguide.com/cocktails/recipe/9/index.html
